epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.5163,1.53211,0.49057,0.93396,1.56329,0.000163934,0.000163934,0.067377
2,32.323,0.79189,0.72642,0.98113,0.81499,0.000297872,0.000297872,0.0341777
3,47.7792,0.46908,0.78302,0.99057,0.58984,0.000398809,0.000398809,0.000945257
4,63.3774,0.36002,0.84906,0.98113,0.57935,0.0003515,0.0003515,0.0003515
5,79.0085,0.29507,0.83962,1,0.50716,0.000302,0.000302,0.000302
6,94.6586,0.18867,0.89623,1,0.51106,0.0002525,0.0002525,0.0002525
7,110.277,0.14561,0.89623,1,0.42667,0.000203,0.000203,0.000203
8,126.113,0.10318,0.89623,0.98113,0.42065,0.0001535,0.0001535,0.0001535
9,142.021,0.08891,0.93396,1,0.35969,0.000104,0.000104,0.000104
10,158.258,0.06385,0.93396,0.99057,0.32394,5.45e-05,5.45e-05,5.45e-05
